row_num,nospace,hate_speech,offensive_language,count_words,total_rating,hate_out_tot,offense_out_tot,count_perc,log_count,pos_log
121,rectum,1,2,1,3,0.3333333333333333,0.6666666666666666,8.96780557797507e-05,-9.319284458965361,9.319284458965361
122,rimjob,0,0,0,0,,,0.0,-inf,inf
123,rimming,0,0,0,0,,,0.0,-inf,inf
124,sadism,0,0,0,0,,,0.0,-inf,inf
125,scat,0,6,2,6,0.0,1.0,0.0001793561115595014,-8.626137278405416,8.626137278405416
126,schlong,0,0,0,0,,,0.0,-inf,inf
127,semen,5,28,10,33,0.15151515151515152,0.8484848484848485,0.000896780557797507,-7.016699365971316,7.016699365971316
128,sex,48,638,225,686,0.06997084548104957,0.9300291545189504,0.020177562550443905,-3.9031840567609417,3.9031840567609417
129,sexcam,0,0,0,0,,,0.0,-inf,inf
130,sexo,0,0,0,0,,,0.0,-inf,inf
131,sexy,8,118,40,126,0.06349206349206349,0.9365079365079365,0.003587122231190028,-5.630405004851426,5.630405004851426
132,sexual,13,47,21,60,0.21666666666666667,0.7833333333333333,0.0018832391713747645,-6.274762021241939,6.274762021241939
133,shemale,0,0,0,0,,,0.0,-inf,inf
134,shibari,0,0,0,0,,,0.0,-inf,inf
135,shit,370,3726,1282,4096,0.09033203125,0.90966796875,0.1149672675096404,-2.1631078214847466,2.1631078214847466
136,shitty,12,62,26,74,0.16216216216216217,0.8378378378378378,0.002331629450273518,-6.06118792094388,6.06118792094388
137,shota,0,0,0,0,,,0.0,-inf,inf
138,skeet,0,3,1,3,0.0,1.0,8.96780557797507e-05,-9.319284458965361,9.319284458965361
139,slut,25,204,69,229,0.1091703056768559,0.8908296943231441,0.006187785848802798,-5.085177954368103,5.085177954368103
140,smut,0,6,2,6,0.0,1.0,0.0001793561115595014,-8.626137278405416,8.626137278405416
141,snatch,0,21,7,21,0.0,1.0,0.0006277463904582549,-7.373374309910049,7.373374309910049
142,sodomy,0,0,0,0,,,0.0,-inf,inf
143,spastic,0,0,0,0,,,0.0,-inf,inf
144,spic,43,42,27,85,0.5058823529411764,0.49411764705882355,0.002421307506053269,-6.023447592961032,6.023447592961032
145,splooge,0,0,0,0,,,0.0,-inf,inf
146,spooge,0,0,0,0,,,0.0,-inf,inf
147,spunk,0,3,1,3,0.0,1.0,8.96780557797507e-05,-9.319284458965361,9.319284458965361
148,strapon,0,0,0,0,,,0.0,-inf,inf
149,suck,78,514,185,592,0.13175675675675674,0.8682432432432432,0.016590440319253878,-4.098928633887037,4.098928633887037
150,sucks,9,82,29,91,0.0989010989010989,0.9010989010989011,0.00260066361761277,-5.951988628978888,5.951988628978888
151,swinger,0,8,1,8,0.0,1.0,8.96780557797507e-05,-9.319284458965361,9.319284458965361
152,tiedup,0,0,0,0,,,0.0,-inf,inf
153,tit,40,438,153,478,0.08368200836820083,0.9163179916317992,0.013720742534301856,-4.288846537572926,4.288846537572926
154,tits,7,62,23,69,0.10144927536231885,0.8985507246376812,0.002062595282934266,-6.183790243036213,6.183790243036213
155,titties,7,70,23,77,0.09090909090909091,0.9090909090909091,0.002062595282934266,-6.183790243036213,6.183790243036213
156,titty,6,39,14,45,0.13333333333333333,0.8666666666666667,0.0012554927809165098,-6.680227129350103,6.680227129350103
157,topless,0,3,1,3,0.0,1.0,8.96780557797507e-05,-9.319284458965361,9.319284458965361
158,tosser,0,0,0,0,,,0.0,-inf,inf
159,tranny,25,102,41,127,0.1968503937007874,0.8031496062992126,0.0036768002869697787,-5.605712392261054,5.605712392261054
160,tubgirl,0,0,0,0,,,0.0,-inf,inf
161,tushy,0,0,0,0,,,0.0,-inf,inf
162,twat,10,154,55,164,0.06097560975609756,0.9390243902439024,0.0049322930678862885,-5.311951273732891,5.311951273732891
163,twink,0,15,4,15,0.0,1.0,0.0003587122231190028,-7.9329900978454715,7.9329900978454715
164,twinkie,0,0,0,0,,,0.0,-inf,inf
165,upskirt,0,0,0,0,,,0.0,-inf,inf
166,vagina,3,56,18,59,0.05084745762711865,0.9491525423728814,0.0016142050040355124,-6.428912701069197,6.428912701069197
167,viagra,0,3,1,3,0.0,1.0,8.96780557797507e-05,-9.319284458965361,9.319284458965361
168,voyeur,0,0,0,0,,,0.0,-inf,inf
169,voyuer,0,0,0,0,,,0.0,-inf,inf
170,vulva,0,0,0,0,,,0.0,-inf,inf
171,wank,0,3,1,3,0.0,1.0,8.96780557797507e-05,-9.319284458965361,9.319284458965361
172,wetback,34,17,16,51,0.6666666666666666,0.3333333333333333,0.0014348488924760111,-6.546695736725581,6.546695736725581
173,whore,31,112,46,143,0.21678321678321677,0.7832167832167832,0.004125190565868532,-5.490643062476267,5.490643062476267
174,xx,44,361,133,405,0.10864197530864197,0.891358024691358,0.011927181418706842,-4.428935330743608,4.428935330743608
175,xxx,15,205,74,220,0.06818181818181818,0.9318181818181818,0.006636176127701551,-5.015219365761192,5.015219365761192
176,yaoi,0,0,0,0,,,0.0,-inf,inf
177,yiffy,0,0,0,0,,,0.0,-inf,inf
178,abbo,0,0,0,0,,,0.0,-inf,inf
179,abo,233,2272,807,2505,0.09301397205588822,0.9069860279441118,0.07237019101425882,-2.6259607906954128,2.6259607906954128
180,abuse,3,12,5,15,0.2,0.8,0.0004483902788987535,-7.709846546531262,7.709846546531262
181,addict,1,41,15,42,0.023809523809523808,0.9761904761904762,0.0013451708366962604,-6.611234257863152,6.611234257863152
182,addicts,0,0,0,0,,,0.0,-inf,inf
183,adult,1,21,8,22,0.045454545454545456,0.9545454545454546,0.0007174244462380056,-7.239842917285526,7.239842917285526
184,africa,1,11,4,12,0.08333333333333333,0.9166666666666666,0.0003587122231190028,-7.9329900978454715,7.9329900978454715
185,african,0,9,3,9,0.0,1.0,0.0002690341673392521,-8.220672170297252,8.220672170297252
186,alla,14,93,31,107,0.1308411214953271,0.8691588785046729,0.0027800197291722715,-5.885297254480216,5.885297254480216
187,allah,6,35,10,41,0.14634146341463414,0.8536585365853658,0.000896780557797507,-7.016699365971316,7.016699365971316
188,amateur,0,8,3,8,0.0,1.0,0.0002690341673392521,-8.220672170297252,8.220672170297252
189,analsex,0,0,0,0,,,0.0,-inf,inf
190,angie,1,11,4,12,0.08333333333333333,0.9166666666666666,0.0003587122231190028,-7.9329900978454715,7.9329900978454715
191,angry,5,34,13,39,0.1282051282051282,0.8717948717948718,0.001165814725136759,-6.754335101503825,6.754335101503825
192,arab,3,14,6,17,0.17647058823529413,0.8235294117647058,0.0005380683346785041,-7.527524989737307,7.527524989737307
193,arabs,3,0,1,3,1.0,0.0,8.96780557797507e-05,-9.319284458965361,9.319284458965361
194,areola,0,0,0,0,,,0.0,-inf,inf
195,argie,0,3,1,3,0.0,1.0,8.96780557797507e-05,-9.319284458965361,9.319284458965361
196,aroused,0,0,0,0,,,0.0,-inf,inf
197,arse,12,24,11,36,0.3333333333333333,0.6666666666666666,0.0009864586135772577,-6.921389186166992,6.921389186166992
198,asian,5,31,10,36,0.1388888888888889,0.8611111111111112,0.000896780557797507,-7.016699365971316,7.016699365971316
199,assault,1,4,2,5,0.2,0.8,0.0001793561115595014,-8.626137278405416,8.626137278405416
200,asses,12,85,32,97,0.12371134020618557,0.8762886597938144,0.0028696977849520223,-5.853548556165635,5.853548556165635
201,assfuck,0,0,0,0,,,0.0,-inf,inf
202,asshat,0,8,3,8,0.0,1.0,0.0002690341673392521,-8.220672170297252,8.220672170297252
203,asshore,0,0,0,0,,,0.0,-inf,inf
204,asskiss,0,0,0,0,,,0.0,-inf,inf
205,asslick,0,0,0,0,,,0.0,-inf,inf
206,assman,0,0,0,0,,,0.0,-inf,inf
207,asswipe,0,0,0,0,,,0.0,-inf,inf
208,attack,8,27,12,35,0.22857142857142856,0.7714285714285715,0.0010761366693570083,-6.8343778091773615,6.8343778091773615
209,babe,6,75,26,81,0.07407407407407407,0.9259259259259259,0.002331629450273518,-6.06118792094388,6.06118792094388
210,babies,16,23,14,39,0.41025641025641024,0.5897435897435898,0.0012554927809165098,-6.680227129350103,6.680227129350103
211,badfuck,0,0,0,0,,,0.0,-inf,inf
212,balls,24,81,32,105,0.22857142857142856,0.7714285714285715,0.0028696977849520223,-5.853548556165635,5.853548556165635
213,banging,0,5,2,5,0.0,1.0,0.0001793561115595014,-8.626137278405416,8.626137278405416
214,baptist,0,0,0,0,,,0.0,-inf,inf
215,barf,0,0,0,0,,,0.0,-inf,inf
216,barface,0,0,0,0,,,0.0,-inf,inf
217,bast,11,13,8,24,0.4583333333333333,0.5416666666666666,0.0007174244462380056,-7.239842917285526,7.239842917285526
218,bazooms,0,0,0,0,,,0.0,-inf,inf
219,beast,3,11,5,14,0.21428571428571427,0.7857142857142857,0.0004483902788987535,-7.709846546531262,7.709846546531262
220,beatoff,0,0,0,0,,,0.0,-inf,inf
221,beaver,0,0,0,0,,,0.0,-inf,inf
222,bestial,0,0,0,0,,,0.0,-inf,inf
223,bi,2241,33754,11151,35995,0.06225864703431032,0.9377413529656897,1.0,0.0,0.0
224,biatch,1,5,2,6,0.16666666666666666,0.8333333333333334,0.0001793561115595014,-8.626137278405416,8.626137278405416
225,bible,2,7,3,9,0.2222222222222222,0.7777777777777778,0.0002690341673392521,-8.220672170297252,8.220672170297252
226,bigass,0,3,1,3,0.0,1.0,8.96780557797507e-05,-9.319284458965361,9.319284458965361
227,bigbutt,0,0,0,0,,,0.0,-inf,inf
228,bigger,8,64,25,72,0.1111111111111111,0.8888888888888888,0.0022419513944937674,-6.100408634097161,6.100408634097161
229,bitcher,0,3,1,3,0.0,1.0,8.96780557797507e-05,-9.319284458965361,9.319284458965361
230,bitchez,0,3,1,3,0.0,1.0,8.96780557797507e-05,-9.319284458965361,9.319284458965361
231,bitchin,7,50,19,57,0.12280701754385964,0.8771929824561403,0.0017038830598152632,-6.374845479798921,6.374845479798921
232,bitchy,3,18,7,21,0.14285714285714285,0.8571428571428571,0.0006277463904582549,-7.373374309910049,7.373374309910049
233,biteme,0,0,0,0,,,0.0,-inf,inf
234,black,133,366,165,499,0.2665330661322645,0.7334669338677354,0.014796879203658865,-4.213338985064781,4.213338985064781
235,blacks,15,9,8,24,0.625,0.375,0.0007174244462380056,-7.239842917285526,7.239842917285526
236,blind,5,43,17,48,0.10416666666666667,0.8958333333333334,0.001524526948255762,-6.486071114909146,6.486071114909146
237,blow,14,147,53,161,0.08695652173913043,0.9130434782608695,0.004752936956326787,-5.34899254541324,5.34899254541324
238,boang,0,0,0,0,,,0.0,-inf,inf
239,bogan,0,0,0,0,,,0.0,-inf,inf
240,bohunk,0,0,0,0,,,0.0,-inf,inf
241,bollick,0,0,0,0,,,0.0,-inf,inf
242,bollock,0,0,0,0,,,0.0,-inf,inf
243,bomb,11,90,33,101,0.10891089108910891,0.8910891089108911,0.002959375840731773,-5.822776897498882,5.822776897498882
244,bombers,0,0,0,0,,,0.0,-inf,inf
245,bombing,0,0,0,0,,,0.0,-inf,inf
246,bombs,3,5,3,8,0.375,0.625,0.0002690341673392521,-8.220672170297252,8.220672170297252
247,bomd,0,0,0,0,,,0.0,-inf,inf
248,bong,2,28,10,30,0.06666666666666667,0.9333333333333333,0.000896780557797507,-7.016699365971316,7.016699365971316
249,boobies,1,5,2,6,0.16666666666666666,0.8333333333333334,0.0001793561115595014,-8.626137278405416,8.626137278405416
250,booby,0,3,1,3,0.0,1.0,8.96780557797507e-05,-9.319284458965361,9.319284458965361
251,boody,0,0,0,0,,,0.0,-inf,inf
252,boom,0,15,5,15,0.0,1.0,0.0004483902788987535,-7.709846546531262,7.709846546531262
253,boong,0,0,0,0,,,0.0,-inf,inf
254,boonga,0,0,0,0,,,0.0,-inf,inf
255,boonie,0,0,0,0,,,0.0,-inf,inf
256,booty,13,231,77,244,0.05327868852459016,0.9467213114754098,0.006905210295040804,-4.975479037111678,4.975479037111678
257,bra,49,445,156,494,0.09919028340080972,0.9008097165991903,0.013989776701641109,-4.269428451715825,4.269428451715825
258,brea5t,0,0,0,0,,,0.0,-inf,inf
259,breast,1,19,7,20,0.05,0.95,0.0006277463904582549,-7.373374309910049,7.373374309910049
260,brothel,0,0,0,0,,,0.0,-inf,inf
261,bugger,0,0,0,0,,,0.0,-inf,inf
262,buggery,0,0,0,0,,,0.0,-inf,inf
263,bumfuck,0,0,0,0,,,0.0,-inf,inf
264,bunga,0,0,0,0,,,0.0,-inf,inf
265,buried,0,0,0,0,,,0.0,-inf,inf
266,burn,17,98,37,115,0.14782608695652175,0.8521739130434782,0.0033180880638507756,-5.7083665463211375,5.7083665463211375
267,buttman,0,0,0,0,,,0.0,-inf,inf
268,byatch,0,0,0,0,,,0.0,-inf,inf
269,cacker,0,0,0,0,,,0.0,-inf,inf
270,cancer,7,18,9,25,0.28,0.72,0.0008071025020177562,-7.122059881629142,7.122059881629142
271,carruth,0,0,0,0,,,0.0,-inf,inf
272,chav,10,28,13,38,0.2631578947368421,0.7368421052631579,0.001165814725136759,-6.754335101503825,6.754335101503825
273,chin,101,475,187,576,0.1753472222222222,0.8246527777777778,0.01676979643081338,-4.0881758421107754,4.0881758421107754
274,chinese,0,3,1,3,0.0,1.0,8.96780557797507e-05,-9.319284458965361,9.319284458965361
275,chink,46,29,23,75,0.6133333333333333,0.38666666666666666,0.002062595282934266,-6.183790243036213,6.183790243036213
276,chinky,0,0,0,0,,,0.0,-inf,inf
277,choad,0,0,0,0,,,0.0,-inf,inf
278,chode,0,0,0,0,,,0.0,-inf,inf
279,christ,9,31,14,40,0.225,0.775,0.0012554927809165098,-6.680227129350103,6.680227129350103
280,church,13,27,12,40,0.325,0.675,0.0010761366693570083,-6.8343778091773615,6.8343778091773615
281,cigs,1,5,2,6,0.16666666666666666,0.8333333333333334,0.0001793561115595014,-8.626137278405416,8.626137278405416
282,clogwog,0,0,0,0,,,0.0,-inf,inf
283,cocaine,3,24,9,27,0.1111111111111111,0.8888888888888888,0.0008071025020177562,-7.122059881629142,7.122059881629142
284,cocknob,0,0,0,0,,,0.0,-inf,inf
285,cocky,1,19,5,20,0.05,0.95,0.0004483902788987535,-7.709846546531262,7.709846546531262
286,cohee,0,0,0,0,,,0.0,-inf,inf
287,coitus,0,0,0,0,,,0.0,-inf,inf
288,color,69,182,87,251,0.2749003984063745,0.7250996015936255,0.00780199085283831,-4.853376340310778,4.853376340310778
289,colored,53,126,63,179,0.29608938547486036,0.7039106145251397,0.005649717514124294,-5.176149732573829,5.176149732573829
290,commie,6,19,9,25,0.24,0.76,0.0008071025020177562,-7.122059881629142,7.122059881629142
291,condom,0,21,7,21,0.0,1.0,0.0006277463904582549,-7.373374309910049,7.373374309910049
292,coolie,1,2,1,3,0.3333333333333333,0.6666666666666666,8.96780557797507e-05,-9.319284458965361,9.319284458965361
293,cooly,1,8,3,9,0.1111111111111111,0.8888888888888888,0.0002690341673392521,-8.220672170297252,8.220672170297252
294,coondog,0,0,0,0,,,0.0,-inf,inf
295,cra5h,0,0,0,0,,,0.0,-inf,inf
296,crabs,0,0,0,0,,,0.0,-inf,inf
297,crack,83,179,85,262,0.31679389312977096,0.683206106870229,0.007622634741278809,-4.876633202475046,4.876633202475046
298,crap,1,76,23,77,0.012987012987012988,0.987012987012987,0.002062595282934266,-6.183790243036213,6.183790243036213
299,crapola,0,0,0,0,,,0.0,-inf,inf
300,crapper,0,0,0,0,,,0.0,-inf,inf
301,crappy,0,22,6,22,0.0,1.0,0.0005380683346785041,-7.527524989737307,7.527524989737307
302,crash,2,27,9,29,0.06896551724137931,0.9310344827586207,0.0008071025020177562,-7.122059881629142,7.122059881629142
303,creamy,0,0,0,0,,,0.0,-inf,inf
304,crime,8,17,8,25,0.32,0.68,0.0007174244462380056,-7.239842917285526,7.239842917285526
305,crimes,0,0,0,0,,,0.0,-inf,inf
306,crotch,0,3,1,3,0.0,1.0,8.96780557797507e-05,-9.319284458965361,9.319284458965361
307,cumfest,0,0,0,0,,,0.0,-inf,inf
308,cumm,0,9,3,9,0.0,1.0,0.0002690341673392521,-8.220672170297252,8.220672170297252
309,cummer,0,0,0,0,,,0.0,-inf,inf
310,cumquat,0,0,0,0,,,0.0,-inf,inf
311,cunn,0,0,0,0,,,0.0,-inf,inf
312,cunntt,0,0,0,0,,,0.0,-inf,inf
313,dago,0,3,1,3,0.0,1.0,8.96780557797507e-05,-9.319284458965361,9.319284458965361
314,dahmer,0,0,0,0,,,0.0,-inf,inf
315,dammit,1,11,4,12,0.08333333333333333,0.9166666666666666,0.0003587122231190028,-7.9329900978454715,7.9329900978454715
316,damn,61,725,247,786,0.07760814249363868,0.9223918575063613,0.02215047977759842,-3.809896122337385,3.809896122337385
317,damnit,0,9,3,9,0.0,1.0,0.0002690341673392521,-8.220672170297252,8.220672170297252
318,darky,2,1,1,3,0.6666666666666666,0.3333333333333333,8.96780557797507e-05,-9.319284458965361,9.319284458965361
319,dead,14,173,59,187,0.0748663101604278,0.9251336898395722,0.005291005291005291,-5.241747015059643,5.241747015059643
320,death,18,58,25,76,0.23684210526315788,0.7631578947368421,0.0022419513944937674,-6.100408634097161,6.100408634097161
321,dego,0,0,0,0,,,0.0,-inf,inf
322,demon,3,27,9,30,0.1,0.9,0.0008071025020177562,-7.122059881629142,7.122059881629142
323,deposit,0,0,0,0,,,0.0,-inf,inf
